dex_index,line,form,name,atlas_col,atlas_row,source_group
1,1,1,Luzik,0,0,001_Sprzezenie_warstwowe
2,1,2,Warstwin,1,0,001_Sprzezenie_warstwowe
3,1,3,Synkronaut,2,0,001_Sprzezenie_warstwowe
4,2,1,Bocznik,3,0,002_Scinanie_styczne
5,2,2,Slizgogon,4,0,002_Scinanie_styczne
6,2,3,Horyzontor,5,0,002_Scinanie_styczne
7,3,1,Milimik,6,0,003_Mikroruch_scinajacy
8,3,2,Drobnoskok,7,0,003_Mikroruch_scinajacy
9,3,3,Kwantomruk,8,0,003_Mikroruch_scinajacy
10,4,1,Pufek,9,0,004_Obciazenieodciazenie
11,4,2,Pulsopuch,10,0,004_Obciazenieodciazenie
12,4,3,Falomamut,11,0,004_Obciazenieodciazenie
13,5,1,Wahlik,12,0,005_Oscylacyjne_scinanie
14,5,2,Wahlagon,13,0,005_Oscylacyjne_scinanie
15,5,3,Fazoryk,14,0,005_Oscylacyjne_scinanie
16,6,1,Szmerik,0,1,006_Mikrowibracja_poprzeczna
17,6,2,Poprzeczek,1,1,006_Mikrowibracja_poprzeczna
18,6,3,Wibral,2,1,006_Mikrowibracja_poprzeczna
19,7,1,Torsik,3,1,007_Torsja_warstw
20,7,2,Skretun,4,1,007_Torsja_warstw
21,7,3,Helikson,5,1,007_Torsja_warstw
22,8,1,Obejscik,6,1,008_Obchodzenie_bariery
23,8,2,Omijak,7,1,008_Obchodzenie_bariery
24,8,3,Przesmyk,8,1,008_Obchodzenie_bariery
25,9,1,Kotwik,9,1,009_Rekastabilizator
26,9,2,Stabilon,10,1,009_Rekastabilizator
27,9,3,Trzymarz,11,1,009_Rekastabilizator
28,10,1,Czujek,12,1,010_Rekaczujnik
29,10,2,Sensorek,13,1,010_Rekaczujnik
30,10,3,Propriozor,14,1,010_Rekaczujnik
31,11,1,Fazik,0,2,011_Ta_sama_faza
32,11,2,Zgodnik,1,2,011_Ta_sama_faza
33,11,3,Synchron,2,2,011_Ta_sama_faza
34,12,1,Antyfaz,3,2,012_Przeciwfaza
35,12,2,Kontrafaz,4,2,012_Przeciwfaza
36,12,3,Desynkron,5,2,012_Przeciwfaza
37,13,1,Tropik,6,2,013_Trop_reakcji_odlegej
38,13,2,Echotrek,7,2,013_Trop_reakcji_odlegej
39,13,3,Reflektor,8,2,013_Trop_reakcji_odlegej
40,14,1,Punktik,9,2,014_Przeniesienie_punktu_pracy
41,14,2,Przesuw,10,2,014_Przeniesienie_punktu_pracy
42,14,3,Migropunkt,11,2,014_Przeniesienie_punktu_pracy
43,15,1,Nucik,12,2,015_Wibracja_dostrojona_do_gosu
44,15,2,Tonotek,13,2,015_Wibracja_dostrojona_do_gosu
45,15,3,Rezonik,14,2,015_Wibracja_dostrojona_do_gosu
46,16,1,Petlik,0,3,016_Wibracyjne_sterowanie_zamkniete
47,16,2,Feedbacker,1,3,016_Wibracyjne_sterowanie_zamkniete
48,16,3,Regulator,2,3,016_Wibracyjne_sterowanie_zamkniete
49,17,1,Dudnik,3,3,017_Wibracja_fazowa_dwoch_punktow
50,17,2,Dwojak,4,3,017_Wibracja_fazowa_dwoch_punktow
51,17,3,Bifazor,5,3,017_Wibracja_fazowa_dwoch_punktow
52,18,1,Spiralek,6,3,018_Mikrowibracja_spiralna
53,18,2,Wirnik,7,3,018_Mikrowibracja_spiralna
54,18,3,Helisator,8,3,018_Mikrowibracja_spiralna
55,19,1,Rotek,9,3,019_Ruch_rotacyjny
56,19,2,Obracaj,10,3,019_Ruch_rotacyjny
57,19,3,Torsjon,11,3,019_Ruch_rotacyjny
58,20,1,Bliznik,12,3,020_Odzyskiwanie_slizgu_blizny
59,20,2,Glidek,13,3,020_Odzyskiwanie_slizgu_blizny
60,20,3,Adhezon,14,3,020_Odzyskiwanie_slizgu_blizny
61,21,1,Oddech,0,4,021_Integracja_z_ruchem_i_oddechem
62,21,2,Rytmik,1,4,021_Integracja_z_ruchem_i_oddechem
63,21,3,Synkrodech,2,4,021_Integracja_z_ruchem_i_oddechem
64,22,1,Mikrus,3,4,022_Mikrowedrowanie
65,22,2,Kroczek,4,4,022_Mikrowedrowanie
66,22,3,Migrator,5,4,022_Mikrowedrowanie
67,23,1,Piezik,6,4,023_Piezoimpuls_warstwowy
68,23,2,Impulsor,7,4,023_Piezoimpuls_warstwowy
69,23,3,Piezotron,8,4,023_Piezoimpuls_warstwowy
70,24,1,Drgik,9,4,024_Pulsacyjna_kompresja
71,24,2,Pulsik,10,4,024_Pulsacyjna_kompresja
72,24,3,Kompreson,11,4,024_Pulsacyjna_kompresja
73,25,1,Zawias,12,4,025_Grawitacyjny_zawias
74,25,2,Hingek,13,4,025_Grawitacyjny_zawias
75,25,3,Grawiton,14,4,025_Grawitacyjny_zawias
76,26,1,Kolebek,0,5,026_Koyska_bezwadnosci
77,26,2,Bujnik,1,5,026_Koyska_bezwadnosci
78,26,3,Inercjon,2,5,026_Koyska_bezwadnosci
79,27,1,Osemek,3,5,027_Pynna_osemka_gradientow
80,27,2,Lemnisk,4,5,027_Pynna_osemka_gradientow
81,27,3,Gradiento,5,5,027_Pynna_osemka_gradientow
82,28,1,Mostek,6,5,028_Most_oddechowocisnieniowy
83,28,2,Przepona,7,5,028_Most_oddechowocisnieniowy
84,28,3,Pneumost,8,5,028_Most_oddechowocisnieniowy
85,29,1,Echonek,9,5,029_Echo_nerwowomechaniczne
86,29,2,Neuroecho,10,5,029_Echo_nerwowomechaniczne
87,29,3,Reflekson,11,5,029_Echo_nerwowomechaniczne
88,30,1,Mozaik,12,5,030_Mozaika_anatomiczna_3D
89,30,2,Fascjon,13,5,030_Mozaika_anatomiczna_3D
90,30,3,Anatomor,14,5,030_Mozaika_anatomiczna_3D
91,31,1,Cieplik,0,6,031_Puls_termicznomechaniczny
92,31,2,Termopuls,1,6,031_Puls_termicznomechaniczny
93,31,3,Kalorion,2,6,031_Puls_termicznomechaniczny
94,32,1,Zegarek,3,6,032_Sprezystolepki_zegar
95,32,2,Wiskoel,4,6,032_Sprezystolepki_zegar
96,32,3,Chronofas,5,6,032_Sprezystolepki_zegar
97,33,1,Tuis,6,6,033_Tui_Fa_pchanie_wzduz_kanau
98,33,2,Tuiro,7,6,033_Tui_Fa_pchanie_wzduz_kanau
99,33,3,Tuilong,8,6,033_Tui_Fa_pchanie_wzduz_kanau
100,34,1,Rolek,9,6,034_Gun_Fa_rolowanie_miekka_piescia
101,34,2,Gunro,10,6,034_Gun_Fa_rolowanie_miekka_piescia
102,34,3,Gunlun,11,6,034_Gun_Fa_rolowanie_miekka_piescia
103,35,1,Ugniotek,12,6,035_Rou_Fa_ugniatanie_okrezne
104,35,2,Rouro,13,6,035_Rou_Fa_ugniatanie_okrezne
105,35,3,Roulong,14,6,035_Rou_Fa_ugniatanie_okrezne
106,36,1,Chwytek,0,7,036_Na_Fa_chwytanie_i_unoszenie
107,36,2,Naro,1,7,036_Na_Fa_chwytanie_i_unoszenie
108,36,3,Nalong,2,7,036_Na_Fa_chwytanie_i_unoszenie
109,37,1,Skrzydlik,3,7,037_Wing_Chun_krotka_sia_struktura
110,37,2,Chunro,4,7,037_Wing_Chun_krotka_sia_struktura
111,37,3,Yongchun,5,7,037_Wing_Chun_krotka_sia_struktura
112,38,1,Gaskek,6,7,038_Mo_Fa_koliste_gaskanie_donia
113,38,2,Moro,7,7,038_Mo_Fa_koliste_gaskanie_donia
114,38,3,Molong,8,7,038_Mo_Fa_koliste_gaskanie_donia
115,39,1,Nacisk,9,7,039_An_Fa_spokojny_nacisk_akupresurowy
116,39,2,Anro,10,7,039_An_Fa_spokojny_nacisk_akupresurowy
117,39,3,Anlong,11,7,039_An_Fa_spokojny_nacisk_akupresurowy
118,40,1,Punkcik,12,7,040_Dian_Fa_precyzyjny_nacisk_punktowy
119,40,2,Dianro,13,7,040_Dian_Fa_precyzyjny_nacisk_punktowy
120,40,3,Dianlong,14,7,040_Dian_Fa_precyzyjny_nacisk_punktowy
121,41,1,Hegu,0,8,041_Brama_Doliny_Hegu_LI4
122,41,2,Guhe,1,8,041_Brama_Doliny_Hegu_LI4
123,41,3,Bramion,2,8,041_Brama_Doliny_Hegu_LI4
124,42,1,Neiguan,3,8,042_Wejscie_do_Wnetrza_Neiguan_PC6
125,42,2,Guanei,4,8,042_Wejscie_do_Wnetrza_Neiguan_PC6
126,42,3,Wnetrznik,5,8,042_Wejscie_do_Wnetrza_Neiguan_PC6
