family_id,stage,name,theme,source_file,status,archetype,frame_size,anchor
1,1,Luzik,Sprzezenie_warstwowe,001_01_FORMA_BAZOWA_Luzik.jpg,approved,glide,128x128,bottom-center
1,2,Warstwin,Sprzezenie_warstwowe,001_02_EWOLUCJA_I_Warstwin.jpg,approved,glide,128x128,bottom-center
1,3,Synkronaut,Sprzezenie_warstwowe,001_03_EWOLUCJA_FINALOWA_Synkronaut.jpg,approved,glide,128x128,bottom-center
2,1,Bocznik,Scinanie_styczne,002_01_FORMA_BAZOWA_Bocznik.jpg,approved,serpent,128x128,bottom-center
2,2,Slizgogon,Scinanie_styczne,002_02_EWOLUCJA_I_Slizgogon.jpg,blocked_qa,serpent,128x128,bottom-center
2,3,Horyzontor,Scinanie_styczne,002_03_EWOLUCJA_FINALOWA_Horyzontor.jpg,blocked_qa,serpent,128x128,bottom-center
3,1,Milimik,Mikroruch_scinajacy,003_01_FORMA_BAZOWA_Milimik.jpg,approved,quadruped,128x128,bottom-center
3,2,Drobnoskok,Mikroruch_scinajacy,003_02_EWOLUCJA_I_Drobnoskok.jpg,approved,quadruped,128x128,bottom-center
3,3,Kwantomruk,Mikroruch_scinajacy,003_03_EWOLUCJA_FINALOWA_Kwantomruk.jpg,approved,quadruped,128x128,bottom-center
4,1,Pufek,Obciazenieodciazenie,004_01_FORMA_BAZOWA_Pufek.jpg,approved,quadruped,128x128,bottom-center
4,2,Pulsopuch,Obciazenieodciazenie,004_02_EWOLUCJA_I_Pulsopuch.jpg,approved,quadruped,128x128,bottom-center
4,3,Falomamut,Obciazenieodciazenie,004_03_EWOLUCJA_FINALOWA_Falomamut.jpg,approved,quadruped,128x128,bottom-center
5,1,Wahlik,Oscylacyjne_scinanie,005_01_FORMA_BAZOWA_Wahlik.jpg,approved,wing-glide,128x128,bottom-center
5,2,Oscylot,Oscylacyjne_scinanie,005_02_EWOLUCJA_I_Oscylot.jpg,approved,wing-glide,128x128,bottom-center
5,3,Fazoryb,Oscylacyjne_scinanie,005_03_EWOLUCJA_FINALOWA_Fazoryb.jpg,approved,wing-glide,128x128,bottom-center
