family_id,theme,base_name,evolution_1,evolution_final
1,Sprzezenie_warstwowe,Luzik,Warstwin,Synkronaut
2,Scinanie_styczne,Bocznik,Slizgogon,Horyzontor
3,Mikroruch_scinajacy,Milimik,Drobnoskok,Kwantomruk
4,Obciazenieodciazenie,Pufek,Pulsopuch,Falomamut
5,Oscylacyjne_scinanie,Wahlik,Oscylot,Fazoryb
6,Mapowanie_kierunkowe,Kompasik,Oktantor,Kartografon
7,Torsja_warstw,Srubik,Torsys,Spiralion
8,Obchodzenie_bariery,uczek,Obiegnik,Labiryntaur
9,Rekastabilizator,Kotwiczek,Bramnik,Fundamentor
10,Rekaczujnik,Nasuch,Echouszek,Sensoryks
11,Ta_sama_faza,Dwumik,Synchroap,Chorogrif
12,Przeciwfaza,Fazik,Kontrafal,Antyfonix
13,Trop_reakcji_odlegej,Tropiciel,Dalekoskok,Sieciowid
14,Przeniesienie_punktu_pracy,Przeskok,Wezowiec,Portalnik
15,Wibracja_dostrojona_do_gosu,Nucik,Wibrospiew,Rezonar
16,Wibracyjne_sterowanie_zamkniete,Petelka,Sprzezyk,Cyberwibr
17,Wibracja_fazowa_dwoch_punktow,Dudnik,Fazodud,Interferon
18,Mikrowibracja_spiralna,Wirutek,Spirydrz,Galaktylion
19,Wibracja_pomiarowa_urzadzeniem,Hercek,Akceler,Metronotron
20,Odzyskiwanie_slizgu_blizny,Szewik,Blizgacz,Regenerion
21,Integracja_z_ruchem_i_oddechem,Tchnik,Ruchodmuch,Autonomir
22,Mikrowedrowanie,Wedrus,Czujokrok,Flowmancer
23,Piezoimpuls_warstwowy,Iskrokol,Piezousk,Elektrokoral
24,Piezoobwod_spiralny,Spiriskra,Obwodzik,Helikoswietl
25,Grawitacyjny_zawias,Ciezulek,Zawiasaur,Grawititan
26,Koyska_bezwadnosci,Koysik,Bezwadek,Orbitalos
27,Pynna_osemka_gradientow,Kropelka,Osemnik,Hydrainfinity
28,Most_oddechowocisnieniowy,Mostek,Cisnieniak,Pneumost
29,Echo_nerwowomechaniczne,Echonerw,Synapsik,Neurogryf
30,Mozaika_anatomiczna_3D,Kafelek,Mozaur,Anatomorf
31,Puls_termicznomechaniczny,Cieplik,Termopuls,Solarion
32,Sprezystolepki_zegar,Sekundzik,Lepkoskok,Chronozel
33,Tui_Fa_pchanie_wzduz_kanau,Tuipu,Kanaek,Smok_Szlaku
34,Gun_Fa_rolowanie_miekka_piescia,Gunku,Rolobak,Jadeitowy_Walec
35,Rou_Fa_ugniatanie_okrezne,Rouru,Kragap,Cynobrowy_Wir
36,Na_Fa_chwytanie_i_unoszenie,Naku,Unoszek,Zuraw_Chmur
37,Yi_Zhi_Chan_Tui_Fa_koysanie_jednym_palcem,Chanek,Jednopuls,Medytacyjny_Kilin
38,Mo_Fa_koliste_gaskanie_donia,Mofu,Ksiezycap,Nefrytowy_Ksiezyc
39,An_Fa_spokojny_nacisk_akupresurowy,Anan,Punktuspokoj,Straznik_Qi
40,Dian_Fa_precyzyjny_nacisk_punktowy,Dianek,Igopuch,Gwiezdny_Punktor
41,Brama_Doliny_Hegu_LI4,Hegus,Metalowa_Brama,Biay_Tygrys_Doliny
42,Wewnetrzna_Przeecz_Neiguan_PC6,Neinek,Ognisty_Straznik,Feniks_Wewnetrznej_Bramy
43,Trzy_Mile_Nogi_Zusanli_ST36,Zuzu,Ziemiomil,Zoty_Kilin_Ziemi
44,Wielki_Potok_Taichong_LR3,Taierek,Potokrzew,Zielony_Smok_Drewna
45,Wachlarz_Qi,Qiwach,Auralis,Smok_Tysiaca_Wachlarzy
46,Piec_Przemian_Dotyku,Peciutek,Wuxingon,Chimera_Pieciu_Przemian
47,Mikrokosmiczna_Orbita_Oddechu,Orbitka,Ren_Dun,Taotyczny_Waz_Nieba
48,Kotwica_Dantian,Danek,Kotwiczan,Straznik_Dolnego_Pola
49,Lampion_Uwaznej_Doni,Lampik,Uwaznik,Latarnik_Ciszy
50,Rezonans_Mantry_i_Dotyku,Mantrik,Tonolotos,Rezonansowy_Garuda
