name,index,family_id,stage
Luzik,0,1,1
Warstwin,1,1,2
Synkronaut,2,1,3
Bocznik,3,2,1
Slizgogon,4,2,2
Horyzontor,5,2,3
Milimik,6,3,1
Drobnoskok,7,3,2
Kwantomruk,8,3,3
Pufek,9,4,1
Pulsopuch,10,4,2
Falomamut,11,4,3
Wahlik,12,5,1
Oscylot,13,5,2
Fazoryb,14,5,3
Kompasik,15,6,1
Oktantor,16,6,2
Kartografon,17,6,3
Srubik,18,7,1
Torsys,19,7,2
Spiralion,20,7,3
Uczek,21,8,1
Obiegnik,22,8,2
Labiryntaur,23,8,3
Kotwiczek,24,9,1
Bramnik,25,9,2
Fundamentor,26,9,3
Nasuch,27,10,1
Echouszek,28,10,2
Sensoryks,29,10,3
Nucik,30,15,1
Wibrospiew,31,15,2
Rezonar,32,15,3
